Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34575.82,48280.03,32084.05,68073.66,55544.26,70942.56,57445.14,57942.96
34569.12,48270.65,32084.59,68059.45,55555.79,70936.65,57458.28,57943.5
34581.19,48272.25,32096.66,68046.31,55535.95,70936.39,57436.29,57944.03
34596.74,48281.91,32104.43,68054.89,55512.61,70942.02,57409.2,57946.72
34592.99,48286.47,32095.05,68074.74,55518.78,70945.24,57414.3,57945.37
34574.21,48283.25,32079.49,68081.44,55549.62,70945.77,57445.14,57945.11
34569.65,48274.13,32081.9,68064.81,55561.43,70939.87,57458.82,57942.69
34584.14,48273.6,32096.92,68046.84,55535.95,70933.44,57436.29,57942.16
34597.01,48281.91,32102.83,68051.94,55510.46,70935.31,57407.59,57944.84
34591.65,48287.81,32092.9,68073.13,55517.44,70939.87,57412.96,57946.72
34573.41,48282.18,32078.95,68078.76,55545.33,70939.6,57444.07,57946.18
34566.43,48273.06,32078.69,68064.01,55557.94,70936.65,57462.58,57947.25
34581.45,48273.86,32094.24,68049.26,55537.82,70934.51,57441.39,57950.47
34597.28,48284.59,32101.48,68056.77,55512.07,70938.8,57412.69,57952.62
34593.26,48290.49,32093.97,68076.08,55518.51,70942.56,57416.44,57950.74
34575.55,48284.86,32080.03,68081.98,55547.48,70941.21,57447.02,57951.54
34569.65,48276.01,32082.17,68067.5,55559.01,70936.12,57461.77,57952.88
34583.87,48277.35,32096.12,68053.82,55537.82,70933.97,57441.66,57954.49
34602.11,48286.74,32106.85,68058.38,55510.46,70935.58,57415.37,57955.57
34602.11,48292.91,32103.09,68075.27,55513.15,70936.65,57422.34,57956.1
34583.87,48286.74,32088.61,68080.91,55542.11,70935.85,57457.21,57957.44
34577.16,48279.77,32086.73,68069.37,55556.06,70933.97,57474.38,57959.32
34587.36,48281.91,32095.85,68055.96,55538.09,70935.31,57452.12,57960.93
34602.38,48292.91,32104.17,68064.01,55514.76,70940.68,57422.88,57959.05
34599.43,48296.39,32096.39,68081.17,55518.51,70941.75,57425.56,57953.42
34580.65,48289.42,32080.83,68086.81,55545.6,70939.87,57454.53,57952.08
34573.94,48280.3,32081.9,68070.71,55554.99,70933.17,57468.48,57954.23
34586.01,48280.57,32094.78,68055.43,55533.53,70929.14,57447.02,57956.91
34602.11,48290.23,32103.09,68062.13,55507.25,70930.22,57418.32,57956.1
34598.89,48295.05,32094.24,68080.64,55512.07,70933.7,57421.54,57953.42
34578.77,48288.88,32080.83,68085.47,55540.24,70932.36,57453.46,57950.47
34573.94,48279.23,32085.66,68067.76,55549.36,70923.51,57467.94,57951.01
34589.23,48278.42,32099.34,68051.13,55527.9,70919.22,57448.09,57954.76
34605.33,48289.15,32106.04,68060.25,55505.9,70925.12,57420.73,57956.1
34602.38,48295.59,32095.05,68080.91,55513.15,70931.29,57425.83,57956.1
34584.41,48289.42,32084.32,68088.95,55541.58,70929.14,57456.94,57954.76
34575.29,48280.84,32085.39,68075.27,55554.45,70923.78,57472.5,57956.1
34591.65,48281.11,32101.48,68058.64,55531.92,70920.02,57451.31,57958.52
34608.81,48288.62,32108.73,68062.4,55505.1,70920.02,57425.56,57957.98
34602.11,48293.44,32096.12,68077.42,55514.49,70922.71,57429.59,57955.83
34583.87,48288.62,32084.85,68084.12,55545.33,70922.17,57458.55,57956.91
34576.63,48279.77,32087.0,68069.1,55556.87,70916.81,57474.11,57957.98
34592.18,48280.57,32103.36,68053.28,55534.07,70912.51,57452.92,57957.18
34608.01,48291.57,32110.87,68061.33,55509.39,70916.27,57422.88,57957.44
34602.38,48298.81,32096.66,68083.05,55516.63,70923.24,57425.56,57960.13
34584.67,48293.71,32085.39,68088.68,55543.99,70921.9,57455.33,57960.13
34576.36,48284.32,32087.54,68073.4,55556.33,70915.2,57471.16,57960.13
34590.84,48284.06,32098.8,68055.16,55534.07,70910.91,57449.7,57962.81
34607.47,48295.05,32104.7,68062.67,55509.93,70915.46,57421.81,57964.69
34604.25,48301.49,32096.12,68081.98,55513.15,70918.95,57423.68,57962.27
34587.09,48295.59,32085.12,68085.47,55537.02,70915.46,57452.65,57959.05
34580.65,48284.06,32086.46,68070.18,55548.28,70909.56,57468.48,57959.05
34594.6,48283.79,32099.07,68054.08,55527.63,70907.15,57449.7,57960.93
34612.3,48296.13,32107.12,68061.33,55501.88,70912.78,57422.88,57962.0
34609.62,48302.03,32101.22,68080.64,55504.83,70915.2,57427.98,57960.66
34590.04,48295.86,32085.39,68087.61,55530.85,70913.05,57462.31,57959.86
34580.92,48286.74,32082.98,68072.59,55544.8,70910.1,57476.26,57960.13
34595.13,48285.67,32096.66,68053.01,55521.73,70904.2,57453.19,57957.44
34611.76,48293.98,32103.09,68058.64,55493.83,70905.27,57424.22,57958.25
34607.74,48301.76,32095.05,68080.91,55498.66,70910.37,57428.78,57958.79
34590.04,48295.32,32082.17,68086.0,55526.56,70908.76,57461.24,57957.98
34582.53,48285.93,32082.17,68068.03,55538.63,70902.86,57478.13,57957.98
34594.6,48287.28,32094.78,68052.47,55519.05,70900.98,57455.33,57960.66
34610.42,48298.27,32102.56,68059.45,55496.52,70905.27,57426.37,57962.0
34607.2,48306.05,32095.05,68078.76,55502.69,70909.83,57428.78,57961.74
34589.77,48300.69,32082.71,68084.93,55528.97,70909.3,57458.55,57960.93
34582.8,48288.88,32086.2,68063.2,55536.48,70898.57,57473.84,57959.59
